"gamma","epsilon","c","test_r2"
"0.02337319","0.03847791","65.58478","-0.178884008855962"
"8.18271","0.025378348","0.2926153","-0.17979208153688986"
"57.08198","0.03838414","0.31694746","-0.18070049568117574"
"0.24772452","0.20605685","6.0525937","-0.18101347930447886"
"0.04064898","0.559405","34.671997","-0.18222170991755648"
"42.01858","0.13653287","0.24637777","-0.18266141868796093"
"69.11396","0.024126776","0.38105196","-0.18276413377196632"
"6.84109","0.077208355","0.31706536","-0.18294350458308117"
"3.9532623","0.039119203","0.463948","-0.18431901519515193"
"5.0844755","0.12413264","0.37887892","-0.1856315529300565"
"0.3299235","0.027470687","4.4042754","-0.18754451905324587"
"34.538586","0.022458728","0.2135546","-0.18771562090561145"
"0.5623619","0.1331819","2.5912588","-0.18773243483463298"
"50.20656","0.48020765","0.2651948","-0.18791012256512563"
"9.421229","0.211612","0.25121874","-0.18793688058888147"
"0.13777441","0.057782233","10.320115","-0.18855241992021576"
"30.086027","0.5232613","0.20110843","-0.18935663154295868"
"2.0524251","0.5503391","0.71225613","-0.1924361182575527"
"3.900967","0.18758841","0.43346974","-0.19245737707269273"
"34.614532","0.012482765","0.20010403","-0.19439918343367202"
"0.042039398","0.8807489","28.825665","-0.19511911973532547"
"1.7918767","0.036807343","0.8145548","-0.19545200292184517"
"0.053763486","0.031588927","24.146448","-0.19724188503620477"
"43.022125","0.088035405","0.21655893","-0.19730962699323262"
"26.023945","0.01130737","0.17894298","-0.19819083766461354"
"17.446548","0.22915737","0.18091843","-0.19842854070347538"
"1.9216537","0.4493975","0.7128755","-0.20007501780443637"
"0.55597544","0.8607258","2.1433296","-0.20040394959476915"
